peak_voltage,duration,rise_time,energy,label
0.10210210210210213,0.038365304420350244,0.8829479768786127,0.03196207371157668,1
0.09346846846846849,0.29274395329441205,0.619942196531792,0.1541520110108579,1
0.6486486486486487,0.8065054211843206,0.4219653179190751,0.7423153387368099,0
0.28566066066066065,0.4320266889074229,0.4378612716763006,0.44471631747973706,2
0.9662162162162165,0.7506255212677231,0.3208092485549132,0.9553448539532038,0
0.1572822822822823,0.08340283569641371,0.699421965317919,0.08365193454656673,1
0.09572072072072074,0.1417848206839033,0.7023121387283237,0.10628536473466892,1
0.2695195195195195,0.5079232693911593,0.6156069364161849,0.36595809756843556,2
0.37987987987987987,0.4920767306088407,0.38583815028901736,0.29637559259825663,2
0.332957957957958,0.45871559633027514,0.3208092485549132,0.2815415201101086,2
0.4298048048048048,0.29691409507923283,0.5606936416184971,0.2775653769689555,2
0.7304804804804805,0.615512927439533,0.09826589595375723,0.8446245603303257,0
0.3622372372372373,0.24270225187656402,0.42919075144508667,0.3537238109802722,2
0.9166666666666667,0.8215179316096748,0.07947976878612717,0.8693989906713564,0
0.11899399399399402,0.21517931609674723,0.7615606936416185,0.04358464597033185,1
0.029654654654654666,0.08173477898248538,0.6430635838150289,0.05031350359382168,1
0.0994744744744745,0.2785654712260217,0.8265895953757226,0.1232604373757455,1
0.9114114114114116,0.7122602168473728,0.4320809248554913,0.9542743538767394,0
0.3765015015015016,0.5854879065888241,0.2673410404624278,0.4745373910383851,2
0.1347597597597598,0.013344453711426119,0.9696531791907513,0.12433093745220981,1
0.3990240240240241,0.32860717264386996,0.5534682080924855,0.31518580822755776,2
0.8693693693693696,0.5312760633861553,0.24277456647398843,0.8071570576540755,0
0.6614114114114114,0.8256880733944953,0.29190751445086704,0.7051536932252638,0
0.12274774774774777,0.1301084236864053,0.7398843930635838,0.005811286129377577,1
0.12687687687687688,0.2819015846538784,0.9263005780346821,0.0942040067288576,1
0.695945945945946,0.5979983319432862,0.015895953757225467,0.9163480654534333,0
0.3460960960960961,0.6330275229357798,0.3497109826589595,0.3142682367334455,2
0.017267267267267267,0.07923269391159304,0.6170520231213873,0.029362287811591975,1
0.8750000000000002,0.44120100083402836,0.04046242774566472,0.9328643523474538,0
